email,first_name,last_name,country,postcode
mermaid.feeds.0m@icloud.com,Shawn,Jenkins,US,91101
drummer_bylines.0b@icloud.com,Theresa,Perry,US,01060
clicker-worldly0n@icloud.com,Martha,Butler,US,03301
bile-cons-0x@icloud.com,Jack,Barnes,US,59404
busmen.handler.0y@icloud.com,Catherine,Fisher,US,97520
gist.jokiest0e@icloud.com,Dennis,Henderson,US,44503
azures.heel.0y@icloud.com,Tammy,Coleman,US,15601
parka-newts.03@icloud.com,Samuel,Simmons,US,76107
acme06faunas@icloud.com,Carolyn,Patterson,US,13202
scrapie.splotch_0w@icloud.com,Larry,Jordan,US,98101
0_dormice.groggy@icloud.com,Rachel,Reynolds,US,20910
regress_vining.0y@icloud.com,Alexander,Hamilton,US,99201
diviner-04network@icloud.com,Robin,Graham,US,89501
canyons_wells0j@icloud.com,Patrick,Kim,US,14604
08-earner.softer@icloud.com,Christine,Gonzalez,US,53211
